"indicator","ei","schoolstotal","classes1-4","classes5-9","classes10-12","classestotal","students1-4","students5-9","students10-12","studentstotal"
"«Всего (сумма строк 02, 08, 09, 10, 11 по всем графам кроме 3)»","ГОУ","1004","3938","14585","3856","22379","77155","287878","68650","433683"
"«Гуманитарный - всего»","ГОУ","989","3612","12823","2753","19188","67737","244082","47010","358829"
"«из них с изучением языков: английского»","ГОУ","639","2755","8049","1574","12378","50057","144015","24671","218743"
"французского","ГОУ","64","164","603","129","896","2693","8342","1522","12557"
"немецкого","ГОУ","101","228","694","162","1084","3466","9414","1694","14574"
"других европейских","ГОУ","12","33","140","33","206","755","2432","651","3838"
"восточных","ГОУ","15","58","129","22","209","941","2088","316","3345"
"«Естественно-научный»","ГОУ","189","37","398","328","763","943","9820","5918","16681"
"Технический","ГОУ","52","20","138","108","266","516","3244","2195","5955"
"Сельскохозяйственный","ГОУ","0","0","0","0","0","0","0","0","0"
"Другие","ГОУ","320","269","1226","667","2162","7959","30732","13527","52218"
"«Всего (сумма строк 02, 08, 09, 10, 11 по всем графам кроме 3)»","НОУ","53","141","319","107","567","1731","3874","900","6505"
"«Гуманитарный - всего»","НОУ","52","126","282","92","500","1546","3275","768","5589"
"«из них с изучением языков:английского»","НОУ","32","104","188","59","351","1188","1972","457","3617"
"французского","НОУ","1","0","3","2","5","0","28","18","46"
"немецкого","НОУ","2","7","18","6","31","96","178","51","325"
"других европейских","НОУ","3","0","9","3","12","0","181","37","218"
"восточных","НОУ","0","0","0","0","0","0","0","0","0"
"«Естественно-научный»","НОУ","5","2","0","5","7","46","0","32","78"
"Технический","НОУ","1","0","1","1","2","0","25","13","38"
"Сельскохозяйственный","НОУ","0","0","0","0","0","0","0","0","0"
"Другие","НОУ","7","13","36","9","58","139","574","87","800"
