"stringnumber","shortname","fullname","site","edudirection","eduprogram","federaldistrict","regoin","legaladdress","submission","headname","phone","email","briefinformation","regnumber","taxpayernumber","regcode"
"1","Детский технопарк «Кванториум»","Научно-технологический парк «Фабрика» Балтийского федерального университета им. Иммануила Канта","http://kvantorium39.ru/pages/o-nas.html","Аэроквантум   IТ-квантум  Робоквантум  Нейроквантум  Биоквантум  VR/AR квантум  Лазерквантум  Энерджиквантум  Медиаквантум","авиастроение беспилотных летательных аппаратов  программирование  беспроводное аппаратное обеспечение  мехатроника  электроника  альтернативная энергетика  дополненная и виртуальная реальность  программы компьютерного зрения  систем трекинга  3D моделирования  теория нейротехнологий и нейробиологии  биотехнологии  методов цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики  медиатехнологии и журналистика на телевидении  радио  в издательской сфере.","Северо-Западный","Калининградская область","ул. Гайдара  6  Калининград  Калининградская обл.  236029","  МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ РФ","Петров Сергей Васильевич","8 (4012)31-33-03","klgdkvantorium@gmail.com","Реализует распределенную модель и состоит из следующих образовательных площадок: Научно-технологический парк «Фабрика» БФУ им. И. Канта. Центр развития одаренных детей (пос. Ушаково). Калининградский областной детско-юношеский центр экологии  краеведения и туризма (ул. Ботаническая  2). Лаборатория «Инновариум» в Институте живых систем БФУ им. И. Канта (ул. Университетская  2).","1023901002949","3906019856","390601001"
"2","МАОУ ДО "Детский технопарк "Кванториум"","Муниципальное автономное образовательное учреждение дополнительного образования  "Детский технопарк "Кванториум" ","http://kvantorium35.wixsite.com/kvantorium","Робоквантум  Биоквантум  Энерджиквантум  Хай-тек цех  Айтиквантум  Виртуальная реальность  медиапублицистика  ","программирование  мехатроника  электроника  альтернативная энергетика  дополненная и виртуальная реальность  программы компьютерного зрения  систем трекинга  3D моделирования  биотехнологии  методов цифровой обработки на 3D принтерах  станках с ЧПУ  промышленное дизайн-проектирование  механика  гидравлика  акустика  оптика","Северо-Западный","Вологодская область","162602  Вологодская область  г. Череповец  ул. Сталеваров  24","МЭРИЯ ГОРОДА ЧЕРЕПОВЦА","Харзина Н. В. ","8 (820) 230-18-12  8 (8202)54 45 88","kvantorium.ch@gmail.com","3086 кв метров современного пространства  87 новейших интерактивных экспонатов  1650 единиц высокотехнологичного оборудования мировых стандартов  ежегодно более 1600 детей  более 40 реализуемых проектов","1173525024551","3528274894","352801001"
"3","Детский технопарк «Кванториум» в Технополисе «Москва»","Технополис «Москва»","https://www.technomoscow.ru/profnavigation/","Робототехника  авиация  промышленный дизайн  нанотехнологии  энергетика","авиастроение беспилотных летательных аппаратов  программирование  беспроводное аппаратное обеспечение  мехатроника  электроника  альтернативная энергетика  методы цифровой обработки на 3D принтерах  станках с ЧПУ  ","Центральный ","Г. Москва","109316  г Москва  проспект Волгоградский  42 23"," ДЕПАРТАМЕНТ НАУКИ  ПРОМЫШЛЕННОЙ ПОЛИТИКИ И ПРЕДПРИНИМАТЕЛЬСТВА г МОСКВЫ","","8 (495) 725 24 41","tehnonavigatordnpp@gmail.com"," В детском технопарке расположены научно-технические и инженерные классы  хайтек-цех с передовым оборудованием по профильным направлениям в мастерских для практических занятий и КВАНТОПАРК (Пространство для проведения презентаций  лекций и мастер-классов с использованием мультимедийного оборудования).","","",""
"4","Технопарк «Мосгормаш»","Технопарк «Мосгормаш»","http://xn--80af0abibof2e.xn--80ajqkfgik2a.xn--d1acj3b/","робототехника  геоинформатика  космонавтика","робототехника  авиация  космонавтика  геоинформатика  нанотехнологии  промышленный дизайн  энергетика","Центральный ","Г. Москва","Каширский проезд  13 стр.4"," ДЕПАРТАМЕНТ НАУКИ  ПРОМЫШЛЕННОЙ ПОЛИТИКИ И ПРЕДПРИНИМАТЕЛЬСТВА г МОСКВЫ","Пожарская Е. В.","8 (495) 225-14-14 (доб. 2126)","tehnonavigatordnpp@gmail.com","Площадь детского технопарка составляет порядка 250 кв метров  на которых смогут обучаться 360 ребят в год. При этом в рамках ознакомительных туров его смогут посещать еще не менее 2500 столичных школьников.","","",""
"5","Центр дополнительного образования детский технопарк «Кванториум»","Структурное подразделение ГБОУ ВО Московской области «Технологический университет» Центр дополнительного образования детский технопарк «Кванториум»","http://unitech-mo.ru/obrazovanie/school-divisions/kvantorium/","IТ-квантум  Наноквантум  Робоквантум  Космоквантум  Промышленный дизайн  Hi-Tech ","робототехника и роботизированные системы  нанотехнологии  космонавтика  промышленный дизайн  IТ- технологии","Центральный ","Московская область","Королев  ул. Пионерская  д. 34","МИНИСТЕРСТВО ОБРАЗОВАНИЯ МОСКОВСКОЙ ОБЛАСТИ","Федотов Дмитрий Геннадьевич"," 8 (495) 516-64-68","fedotov.dg@ut-mo.ru","Это площадка с высокотехнологичным оборудованием  где ребята смогут реализовывать свои творческие фантазии! Занятия в квантумах проходят в группах из 12 и менее детей. Сначала ученики в течение 3 месяцев осваивают вводный модуль продолжительностью 60 часов. Затем лучшие ученики составляют команды из 3-6 человек с целью создания практико-ориентированных проектов. Все разработанные командами проекты представляются на региональном уровне  а авторы лучших работ направляются на всероссийские и международные конкурсы и олимпиады. Самые лучшие проекты находят воплощение в продукции предприятий ракетно-космической отрасли  которые являются партнерами «Кванториума».","1035003350821","5018051823","501801001"
"6","Детский технопарк «Кванториум»","Структурное подразделение ГПОУ Тульский государственный машиностроительный колледж им. Никиты Демидова  ул. Революции  2","http://tgmk-tula.ru/kvantorium71/","Аэроквантум   IТ-квантум  Робоквантум","робототехника и роботизированные системы  нанотехнологии  космонавтика  промышленный дизайн  IТ- технологии","Центральный ","Тульская область","300041  Тула  ул. Революции  д. 2"," МИНИСТЕРСТВО ОБРАЗОВАНИЯ ТУЛЬСКОЙ ОБЛАСТИ","Гореликова Татьяна Владимировна","8 (4872) 56-00-93","kvantorium_tula@mail.ru","","1147154029461","7107551290","710701001"
"7","Детский технопарк Кванториум-33","Структурное подразделение ГАОУ ДПО ВО «Владимирский институт развития образования имени Л.И. Новиковой»","http://kvantorium33.ru/index.php/info","Аэроквантум   IТ-квантум  Робоквантум   Биоквантум  VR/AR квантум  Дизайн","Робототехника  микроэлектроника  информационные технологии  цифровое производство","Центральный","Владимирская область","г. Владимир  ул. Каманина  д. 30/1","ДЕПАРТАМЕНТ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ВЛАДИМИРСКОЙ ОБЛАСТИ ","Полякова Виктория Александровна","8 (4922) 52-08-65","info@kvantorium33.ru","В составе Центра образовательной робототехники функционируют четыре лаборатории  в которых дети занимаются робототехникой и микроэлектроникой  осваивают технологии прямого цифрового производства и информационные технологии. Каждый ребенок может свободно выбрать любое из перечисленных направлений и принять участие в научно-исследовательском проекте по выбранному направлению. ","1023301284467","3327101387","332701001"
"8","Детский технопарк «Кванториум»","ГБОУ Центр поддержки одаренных детей «Стратегия»","http://kvantorium48.ru/","Аэроквантум  Геоквантум  Наноквантум  Биоквантум  It-квантум  Робоквантум","Робототехника  3D моделирование и прототипирование  Начальное техническое моделирование  Инжиниринг и изобретательская деятельность  Научно-исследовательская деятельность","Центральный","Липецкая область","398016  г. Липецк  ул. Космонавтов  20/3","УПРАВЛЕНИЕ ОБРАЗОВАНИЯ И НАУКИ ЛИПЕЦКОЙ ОБЛАСТИ  ДЕПАРТАМЕНТ ОБРАЗОВАНИЯ И НАУКИ АДМИНИСТРАЦИИ ЛИПЕЦКОЙ ОБЛАСТИ","Дегтева Лариса Ивановна ","8 (4742) 72-70-84","l.degteva@strategy48.ru","","1024800825686","4825018775","482501001"
"9","Детский технопарк «Кванториум»","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ВОРОНЕЖСКОЙ ОБЛАСТИ "ЦЕНТР ИНЖЕНЕРНЫХ КОМПЕТЕНЦИЙ ДЕТЕЙ И МОЛОДЕЖИ "КВАНТОРИУМ"","http://octtu-vrn.ru/","биоквантум  IT-квантум  автоквантум  робоквантум   аэроквантум","Робототехника  3D моделирование и прототипирование  Начальное техническое моделирование  Инжиниринг и изобретательская деятельность  Научно-исследовательская деятельность","Центральный","Воронежская область","394029 г. Воронеж  пр-т Труда  д. 65","ДЕПАРТАМЕНТ ОБРАЗОВАНИЯ  НАУКИ И МОЛОДЕЖНОЙ ПОЛИТИКИ ВОРОНЕЖСКОЙ ОБЛАСТИ","Коржик Илья Андреевич","958-86-310-86","octtuvrn@mail.ru","В нем будут не только классы для обучения  но и медиабиблиотека  а так же музей науки и техники. В учреждении смогут заниматься до 800 детей.","1033600029528","3663025816","366301001"
"10","Региональный детский технопарк "Кванториум" г. Белгород","Региональный детский технопарк "Кванториум" г. Белгород","http://belgorodkvantorium.ru/","биоквантум  IT-квантум  геоквантум  робоквантум   нейроквантум  наноквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Центральный","Белгородская область"," 308031 г. Белгород  ул. Есенина 52Б","УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА БЕЛГОРОДА ","Галеева Елена Валентиновна","8(4722)73-23-20","school50@beluo31.ru"," Создан на базе МБОУ «Средняя общеобразовательная школа № 50». На базе Технопарка осуществляют образовательную деятельность учреждения Белгородской области: 1. Государственное бюджетное учреждение дополнительного образования «Белгородский областной Центр детского (юношеского) технического творчества»  2. Муниципальное бюджетное учреждение дополнительного образования «Центр технологического образования и детского технического творчества» города Белгорода. В основе методики обучения лежат кейсовый и проектный методы  технологии изобретательской разминки и идеального конечного результата  научный эксперимент. Лучшие обучающиеся составляют команды из 3-6 человек с целью создания практико-ориентированных проектов. ","1023101686222","3125011941","312301001"
