"year","federaldistrict","region","kindergartens","pupils","pupilsper100"
"2017","Центральный федеральный округ","Белгородская область","478","72412","105"
"2017","Центральный федеральный округ","Брянская область","349","57037","108"
"2017","Центральный федеральный округ","Владимирская область","467","75555","98"
"2017","Центральный федеральный округ","Воронежская область","429","99384","102"
"2017","Центральный федеральный округ","Ивановская область","382","52534","98"
"2017","Центральный федеральный округ","Калужская область","235","49576","106"
"2017","Центральный федеральный округ","Костромская область","238","37369","109"
"2017","Центральный федеральный округ","Курская область","267","42543","111"
"2017","Центральный федеральный округ","Липецкая область","338","52913","111"
"2017","Центральный федеральный округ","Московская область","2065","400555","106"
"2017","Центральный федеральный округ","Орловская область","222","33623","106"
"2017","Центральный федеральный округ","Рязанская область","365","47894","104"
"2017","Центральный федеральный округ","Смоленская область","301","42174","98"
"2017","Центральный федеральный округ","Тамбовская область","277","47017","100"
"2017","Центральный федеральный округ","Тверская область","488","63662","98"
"2017","Центральный федеральный округ","Тульская область","367","62844","91"
"2017","Центральный федеральный округ","Ярославская область","416","71008","106"
"2017","Центральный федеральный округ","г. Москва","84","432758","100"
"2017","Северо-Западный федеральный округ","Республика Карелия","183","35319","95"
"2017","Северо-Западный федеральный округ","Республика Коми","364","60694","95"
"2017","Северо-Западный федеральный округ","Архангельская область","512","70078","95"
"2017","Северо-Западный федеральный округ","Архангельская область (кроме Ненецкого автономного округа)","483","66476","95"
"2017","Северо-Западный федеральный округ","Ненецкий автономный округ","29","3602","90"
"2017","Северо-Западный федеральный округ","Вологодская область","394","77820","104"
"2017","Северо-Западный федеральный округ","Калининградская область","236","50142","100"
"2017","Северо-Западный федеральный округ","Ленинградская область","395","82576","98"
"2017","Северо-Западный федеральный округ","Мурманская область","271","47614","101"
"2017","Северо-Западный федеральный округ","Новгородская область","222","37108","98"
"2017","Северо-Западный федеральный округ","Псковская область","157","29551","100"
"2017","Северо-Западный федеральный округ","г. Санкт-Петербург","1075","264056","111"
"2017","Южный федеральный округ","Республика Адыгея","127","22721","132"
"2017","Южный федеральный округ","Республика Калмыкия","110","14733","98"
"2017","Южный федеральный округ","Республика Крым","416","72108","103"
"2017","Южный федеральный округ","Краснодарский край","1481","275627","109"
"2017","Южный федеральный округ","Астраханская область","201","51665","96"
"2017","Южный федеральный округ","Волгоградская область","578","110218","102"
"2017","Южный федеральный округ","Ростовская область","1359","182103","108"
"2017","Южный федеральный округ","г. Севастополь","80","18116","116"
"2017","Северо-Кавказский федеральный округ","Республика Дагестан","778","93732","121"
"2017","Северо-Кавказский федеральный округ","Республика Ингушетия","63","15501","103"
"2017","Северо-Кавказский федеральный округ","Кабардино-Балкарская Республика","24","52915","109"
"2017","Северо-Кавказский федеральный округ","Карачаево-Черкесская Республика","129","20702","111"
"2017","Северо-Кавказский федеральный округ","Республика Северная Осетия – Алания","225","34534","121"
"2017","Северо-Кавказский федеральный округ","Чеченская Республика","421","75469","135"
"2017","Северо-Кавказский федеральный округ","Ставропольский край","842","131488","107"
"2017","Приволжский федеральный округ","Республика Башкортостан","1370","239970","115"
"2017","Приволжский федеральный округ","Республика Марий Эл","225","39163","99"
"2017","Приволжский федеральный округ","Республика Мордовия","247","33244","104"
"2017","Приволжский федеральный округ","Республика Татарстан (Татарстан)","1814","220284","112"
"2017","Приволжский федеральный округ","Удмуртская Республика","629","103025","113"
