"ei","indicator","number","programs1-4","programs5-9","programs10-11"
"ГОУ","Численность обучающихся, углубленно изучающих предметы (не менее одного)","1","265175","902296","304934"
"ГОУ","В том числе по профилям обучения:
      гуманитарный – всего","2","199409","473168","95779"
"ГОУ","из них с изучением языков:
            английского","3","154424","317973","64131"
"ГОУ","французского","4","7938","22643","4533"
"ГОУ","немецкого","5","10645","34093","5619"
"ГОУ","других европейских","6","2857","6274","1312"
"ГОУ","восточных","7","2182","6913","1372"
"ГОУ","естественнонаучный","8","5803","77207","43317"
"ГОУ","социально-экономический","9","488","21569","38804"
"ГОУ","технологический","10","1319","25899","25877"
"ГОУ","технический","11","812","14751","7774"
"ГОУ","сельскохозяйственный","12","297","3827","1359"
"ГОУ","математический","13","22604","176381","37619"
"ГОУ","другие","14","25787","110752","65733"
"НОУ","Численность обучающихся, углубленно изучающих предметы (не менее одного)","1","6016","8816","3501"
"НОУ","В том числе по профилям обучения:
      гуманитарный – всего","2","4871","7292","2073"
"НОУ","из них с изучением языков:
            английского","3","4485","6055","1710"
"НОУ","французского","4","81","260","73"
"НОУ","немецкого","5","61","525","115"
"НОУ","других европейских","6","58","183","9"
"НОУ","восточных","7","88","85",""
"НОУ","естественнонаучный","8","64","231","392"
"НОУ","социально-экономический","9","","55","416"
"НОУ","технологический","10","","2","35"
"НОУ","технический","11","45","54","82"
"НОУ","сельскохозяйственный","12","","",""
"НОУ","математический","13","155","65","268"
"НОУ","другие","14","650","980","454"
