"countobr","countstudent","countteacher","ratio","subject"
"371","79900","17048","0","Российская Федерация"
"43","7972","1691","0","Центральный федеральный округ"
,"0","0","0","   Белгородская область"
"3","571","137","0","   Брянская область"
,"0","0","0","   Владимирская область"
"9","2071","439","0","   Воронежская область"
,"0","0","0","   Ивановская область"
,"0","0","0","   Калужская область"
"1","45","6","0","   Костромская область"
"7","667","202","0","   Курская область"
"5","1707","273","0","   Липецкая область"
"1","246","47","0","   Московская область"
"4","258","138","0","   Орловская область"
,"0","0","0","   Рязанская область"
,"0","0","0","   Смоленская область"
"2","392","40","0","   Тамбовская область"
"5","445","109","0","   Тверская область"
"1","4","112","0","   Тульская область"
"5","1566","188","0","   Ярославская область"
,"0","0","0","   г.Москва"
"29","5935","1286","0","Северо-Западный федеральный округ"
"3","72","38","0","   Республика Карелия"
"4","582","132","0","   Республика Коми"
"6","2020","384","0","   Архангельская область"
"2","180","26","0","   Вологодская область"
,"0","0","0","   Калининградская область"
,"0","0","0","   Ленинградская область"
"2","145","100","0","   Мурманская область"
"4","377","73","0","   Новгородская область"
"3","593","155","0","   Псковская область"
"5","1966","378","0","   г.Санкт-Петербург"
,"0","0","0","   Ненецкий автономный округ"
"69","21280","3920","0","Южный федеральный округ"
"1","25","140","0","   Республика Адыгея"
"1","74","19","0","   Республика Калмыкия"
"17","6811","866","0","   Краснодарский край"
"3","296","129","0","   Астраханская область"
"10","1620","444","0","   Волгоградская область"
"23","6893","1237","0","   Ростовская область"
"13","5124","1001","0","   Республика Крым"
"1","437","84","0","   г.Севастополь"
"11","2466","646","0","Северо-Кавказский федеральный округ"
,"0","0","0","   Республика Дагестан"
,"0","0","0","   Республика Ингушетия"
"1","265","40","0","   Кабардино-Балкарская Республика"
"1","210","48","0","   Карачаево-Черкесская Республика"
"7","1438","511","0","   Республика Северная Осетия - Алания"
"1","318","26","0","   Чеченская Республика"
"1","235","21","0","   Ставропольский край"
"84","17694","3203","0","Приволжский федеральный округ"
"35","9885","1116","0","   Республика Башкортостан"
"2","246","92","0","   Республика Марий Эл"
"1","124","34","0","   Республика Мордовия"
"1","63","48","0","   Республика Татарстан"
"3","591","163","0","   Удмуртская Республика"
,"0","0","0","   Чувашская Республика"
"5","614","70","0","   Пермский край"
"3","199","246","0","   Кировская область"
"1","118","64","0","   Нижегородская область"
"8","1207","340","0","   Оренбургская область"
"3","334","49","0","   Пензенская область"
"5","612","150","0","   Самарская область"
"15","3289","708","0","   Саратовская область"
"2","412","123","0","   Ульяновская область"
"18","2754","994","0","Уральский федеральный округ"
"6","612","287","0","   Курганская область"
"6","999","298","0","   Свердловская область"
"1","75","203","0","   Тюменская область"
"5","1068","206","0","   Челябинская область"
,"0","0","0","   Ханты-Мансийский автономный округ"
,"0","0","0","   Ямало-Ненецкий автономный округ"
"84","14580","3802","0","Сибирский федеральный округ"
,"0","0","0","   Республика Алтай"
"1","126","0","0","   Республика Тыва"
"4","683","232","0","   Республика Хакасия"
"14","3647","770","0","   Алтайский край"
"26","3605","934","0","   Красноярский край"
"8","1097","573","0","   Иркутская область"
"1","11","121","0","   Кемеровская область"
"13","3107","610","0","   Новосибирская область"
"10","1492","325","0","   Омская область"
"7","812","237","0","   Томская область"
"33","7219","1506","0","Дальневосточный федеральный округ"
"3","313","62","0","   Республика Бурятия"
"8","781","302","0","   Республика Саха (Якутия)"
"9","3504","562","0","   Забайкальский край"
"2","131","25","0","   Камчатский край"
"6","1032","177","0","   Приморский край"
,"0","0","0","   Хабаровский край"
"2","1048","230","0","   Амурская область"
"1","51","19","0","   Магаданская область"
,"0","0","0","   Сахалинская область"
"2","359","129","0","   Еврейская автономная область"
,"0","0","0","   Чукотский автономный округ"
