"subject","type","full_name","addr"
"Республика Адыгея","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение муниципального образования «Шовгеновский район» «Детский сад общеобразовательного вида № 2 «Бэрэчэт» А. Джеракай","385461, Республика Адыгея, Шовгеновский р-н, аул Джерокай, ул. Краснооктябрьская, д. 45В"
"Республика Адыгея","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад общеразвивающего вида № 4","385019, Республика Адыгея, г. Майкоп, ул. Шоссейная, д. 18-А"
"Республика Адыгея","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение муниципального образования «Кошехабльский район» «Детский сад № 9 «Мальвина»»","385435, Республика Адыгея, Кошехабльский р-н, х. Казенно- Кужорский, ул. Гагарина, д. 4"
"Республика Алтай","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Онгудайская средняя общеобразовательная школа имени С.Т. Пекпеева»","649440, Республика Алтай, Онгудайский р-н, с. Огундай, ул. Ленина, д. 16"
"Республика Башкортостан","Дошкольные образовательные организации","Муниципальное дошкольное образовательное бюджетное учреждение детский сад компенсирующего вида № 19 г. Белорецк муниципального района Белорецкий район Республики Башкортостан","453500, Республика Башкортостан, Белорецкий р-н, г. Белорецк, ул. Косоротова, д. 4, корп. А"
"Республика Башкортостан","Дошкольные образовательные организации","Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 18 «Солнышко» с. Николо-Березовка» муниципального района Краснокамский район Республики Башкортостан","452930, Республика Башкортостан, Краснокамкий р-н, с. Николо-Березовка, ул. Ленина, д. 15 «Б»"
"Республика Башкортостан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 6 «Радуга» с. Верхние Татышлы муниципального района Татышлинский район Республики Башкортостан","452830, Республика Башкортостан, Татышлинский р-н, с. Верхние Татышлы, ул. Фрунзе, д. 16"
"Республика Башкортостан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа села Старобаишево муниципального района Дюртюлинский район Республики Башкортостан","452307, Республика Башкортостан, Дюртюлинский р-н, с. Старобаишево, ул. Молодежная, д. 4"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное автономное учреждение дополнительного образования Детско-юношеская спортивная школа «Юность» муниципального района Бирский район Республики Башкортостан","452451, Республика Башкортостан, г. Бирск, ул. Мира, д. 116, к. А"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное автономное образовательное учреждение дополнительного образования Детско-юношеская спортивная школа муниципального района Благоварский район Республики Башкортостан","452740, Республика Башкортостан, Благоварский р-н, с. Языкова, ул. Победы, д. 2, к. 1"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное образовательное бюджетное учреждение дополнительного образования Центр детского творчества г. Благовещенска Республики Башкортостан","453434. Республика Башкортостан, Благовещенский р-н, г. Благовещенск, ул. Социалистическая, д. 16, к. А"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное бюджетное учреждение дополнительного образования Центр развития творчества детей и юношества муниципального района Зианчуринский район Республики Башкортостан","453380, Республика Башкортостан, Зианчуринский р-н, с. Исянгулово. ул. Советская, д. 2А"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное бюджетное образовательное учреждение дополнительного образования Дворец детского (юношеского) творчества города Ишимбая муниципального района Ишимбайский район Республики Башкортостан","453200, Республика Башкортостан, Ишимбайский р-н, г. Ишимбай, пр-кт Ленина, д. 22"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное бюджетное учреждение дополнительного образования Дом пионеров и школьников муниципального района Нуримановский район Республики Башкортостан","452440, Республика Башкортостан, Нуримановский р-н, с. Красная горка, ул. Советская, д. 97"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальная бюджетная организация дополнительного образования Центр детского творчества муниципального района Татышлинский район Республики Башкортостан","452830, Республика Башкортостан, Татышлинский р-н, с. Верхние Татышлы, ул. Ленина, д. 86"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное бюджетное учреждение дополнительного образования Дома детского технического творчеств «Юный техник» с. Серафимовский муниципального района Туймазинский район Республики Башкортостан","452780, Республика Башкортостан, Туймазинский р-н, с. Серафимовский, ул. Девонская, д. 3"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное бюджетное учреждение дополнительного образования «Центр детского творчества» городского округа город Сибай Республики Башкортостан","453837, Республика Башкортостан, г. Сибай, ул. Чайковского, д. 1"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное бюджетное образовательное учреждение дополнительного образования «Центр детского творчества «Парус» городского округа город Уфа Республики Башкортостан","450017, Республика Башкортостан, г. Уфа, ул. Ахметова, д. 316"
"Республика Башкортостан","Организации дополнительного образования детей","Муниципальное автономное образовательное учреждение дополнительного образования «Детско-юношеский центр «Салям» городского округа город Уфа Республики Башкортостан","450105, Республика Башкортостан, г. Уфа, ул. Академика Королева, д. 25"
"Республика Бурятия","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - Мухоршибирский детский сад «Звездочка» 1 категории»","671340, Республика Бурятия, Мухоршибирский р-н, с. Мухоршибирь, пер. Коммунальный, д. 3"
"Республика Бурятия","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение центр развития ребенка - детский сад «Медвежонок»","671561, Республика Бурятия, Муйский р-н, пгт. Таксимо, ул. Латвийская, д. 19"
"Республика Бурятия","Общеобразовательные организации","Государственное бюджетное общеобразовательное учреждение «Багдаринская эвенкийская школа-интернат среднего общего образования»","671510, Республика Бурятия, Баунтовский эвенкийский р-н, с. Багдарин, ул. Школьная, д. 19"
"Республика Бурятия","Организации дополнительного образования детей","Муниципальное бюджетное учреждение дополнительного образования «Заиграевский центр детского и юношеского творчества»","671310, Республика Бурятия, Заиграевский р-н, пгт. Заиграево, ул. Ленина, д. 24"
"Республика Бурятия","Организации дополнительного образования детей","Муниципальное автономное учреждение дополнительного образования «Дом творчества п. Селенгинск» муниципального образования «Кабанский район»","671247, Республика Бурятия, Кабанский р-н, пгт. Селенгинск, мкр. Южный, д. 51"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 1 города Буйнакска","368222, Республика Дагестан, г. Буйнакск, мкр. Дружба, д. 62"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное образовательное учреждение для детей дошкольного и младшего школьного возраста «Прогимназия «Ласточка» городского округа «город Кизляр»","368870, Республика Дагестан, г. Кизляр, ул. Грозненская, д. 114"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 8 «Радуга»","368107, Республика Дагестан, г. Кизилюрт, пгт. Новый Сулак, ул. Заводская, д. 2"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад № 10 «Энергетик»","368101, Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, ул. Пушкина, д. 8, к. А"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 8» г. Избербаш Республики Дагестан","368502, Республика Дагестан, г. Избербаш, ул. М. Гаджиева, д. 84А"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 5 «Гусельки»","368300, Республика Дагестан, г. Каспийск, ул. Ленина, д. 20 «А»"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 2»","367008, Республика Дагестан, г. Махачкала, ул. Некрасова, д. 69"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 6 «Горяночка»","367002, Республика Дагестан, г. Махачкала, ул. Пушкина, д. 34"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 11 «Чебурашка»","367007, Республика Дагестан, г. Махачкала, ул. Лаптиева, д. 28"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 59»","367000, Республика Дагестан, г. Махачкала, пр-д Абдулхакима Исмаилова, д. 17, к. Б"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 84»","367000, Республика Дагестан, г. Махачкала, пр-кт. Петра Первого, д. 57. корп. В"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад «Гебелек» общеразвивающего вида с. Халимбекаул Буйнакского района Республики Дагестан","368215, Республика Дагестан, Буйнакский р-н, с. Халимбекаул, ул. Юсупбековых, д. 7"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 3 «Бекенез»","368530, Республика Дагестан, Карабудахкентский р-н, с. Карабудахкент, ул. Дахадаева, д. 4"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Гимназия города Буйнакска»","368222, Республика Дагестан, г. Буйнакск, ул. Ленина, д. 42"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 3 города Буйнакска»","368220, Республика Дагестан, г. Буйнакск, ул. Фрунзе, д. 2 А"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 5 города Буйнакска»","368222, Республика Дагестан, г. Буйнакск, ул. Ленина, д. 62"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 9 города Буйнакска»","368222, Республика Дагестан, г. Буйнакск, мкр. Дружба, д. 64 А"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Многопрофильный лицей № 2 им. С. М. Кирова» городского округа «город Кизляр»","368830, Республика Дагестан, г. Кизляр, ул. Набережная, д. 1"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Кизлярская гимназия № 6 им. А. С. Пушкина» городского округа «город Кизляр»","368830, Республика Дагестан, г. Кизляр, ул. Циолковского, д. 14/2"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное образовательное учреждение «Средняя общеобразовательная школа № 7 города Кизилюрт»","368124, Республика Дагестан, г. Кизилюрт, ул. Г. Цадаса, д. 40"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 8 города Кизилюрт»","368124, Республика Дагестан, г. Кизилюрт, ул. Г. Цадаса, д. 73б"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 6»","367039, Республика Дагестан, г. Махачкала, с. Новый Хушет, ул. Гагарина, д. 1, к. А"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 16»","367000, Республика Дагестан, г. Махачкала, ул. Дахадаева, д. 90"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 44»","367913, Республика Дагестан, г. Махачкала, с. Шамхал-Термен, ул. Победы, д. 6"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Лицей № 51»","367009, Республика Дагестан, г. Махачкала, ул. Островского, д. 18"
