"region","year","organizations","legaladdress","address"
"Республика Адыгея (Адыгея)","2020 год","Государственное казенное общеобразовательное учреждение Республики Адыгея «Школа-интернат для детей с ограниченными возможностями здоровья, детей-сирот и детей, оставшихся без попечения родителей»","385440 Республика Адыгея, Шовгеновский район, аул Хакуринохабль, ул. Краснооктябрьская, д. 104","385440 Республика Адыгея, Шовгеновский район, аул Хакуринохабль, ул. Краснооктябрьская, д. 104"
"Республика Адыгея (Адыгея)","2021 год","Муниципальное казенное общеобразовательное учреждение «Школа для детей с ограниченными возможностями здоровья»","385002, Республика Адыгея, г. Майкоп, ул. 12 Марта, д. 65","385002, Республика Адыгея, г. Майкоп, ул. 12 Марта, д. 65"
"Республика Алтай","2020 год","Казенное общеобразовательное учреждение Республики Алтай «Коррекционная школа-интернат»","649000, Республика Алтай, г. Горно-Алтайск, просп. Коммунистический, 115","649000, Республика Алтай, г. Горно-Алтайск, просп. Коммунистический, 115"
"Республика Алтай","2021 год","Казенное общеобразовательное учреждение Республики Алтай «Специальная (коррекционная) общеобразовательная школа-интернат для детей с нарушением слуха»","649002, Республика Алтай, г. Горно-Алтайск, ул. Гончарная, 6","649002, Республика Алтай, г. Горно-Алтайск, ул. Гончарная, 6"
"Республика Башкортостан","2020 год","Государственное бюджетное общеобразовательное учреждение Белебеевская коррекционная школа для обучающихся с ограниченными возможностями здоровья","452000, Республика Башкортостан, район Белебеевский, г. Белебей, ул. Пионерская, 49","452000, Республика Башкортостан, район Белебеевский, г. Белебей, ул. Пионерская, 49"
"Республика Башкортостан","2020 год","Государственное бюджетное общеобразовательное учреждение Октябрьская коррекционная школа № 19 для обучающихся с ограниченными возможностями здоровья","452616, Республика Башкортостан, г. Октябрьский, ул. Трипольского, 59","452616, Республика Башкортостан, г. Октябрьский, ул. Трипольского, 59"
"Республика Башкортостан","2021 год","Государственное бюджетное общеобразовательное учреждение Белорецкая коррекционная школа для обучающихся с ограниченными возможностями здоровья","453504, Республика Башкортостан, район Белорецкий, г. Белорецк, ул. Спортивная, 51 А","453504, Республика Башкортостан, район Белорецкий, г. Белорецк, ул. Спортивная, 51 А"
"Республика Башкортостан","2021 год","Государственное бюджетное общеобразовательное учреждение Стерлитамакская коррекционная школа № 25 для обучающихся с ограниченными возможностями здоровья","453107, Республика Башкортостан, г. Стерлитамак, ул. Одесская, 4","453107, Республика Башкортостан, г. Стерлитамак, ул. Одесская, 4"
"Республика Башкортостан","2022 год","Государственное бюджетное общеобразовательное учреждение Белебеевская коррекционная школа для слабовидящих обучающихся","452000, Республика Башкортостан, район Белебеевский, г. Белебей, ул. Красная, д. 134, к. 1","452000, Республика Башкортостан, район Белебеевский, г. Белебей, ул. Красная, д. 134, к. 1"
"Республика Башкортостан","2022 год","Государственное бюджетное общеобразовательное учреждение Уфимская коррекционная школа-интернат № 30 для глухих и слабослышащих обучающихся","450061, Республика Башкортостан, г. Уфа, ул. Первомайская, д. 86А","450061, Республика Башкортостан, г. Уфа, ул. Первомайская, д. 86А"
