Код,"Наименование специальности, направление подготовки",Уровень образования,Реализуемые формы обучения,Описание ООП,Учебный план,Аннотации рабочих программ дисциплин с приложением копий,Календарный учебный график,Методические и иные документы,Информации о практиках,Использование электронного обучения
01.06.01,"Математика и механика (направленность ""Вещественный, комплексный и функциональный анализ"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1344986/OOP_01_06_01_010101_.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Нет,Да
01.06.01,"Математика и механика (направленность ""Вещественный, комплексный и функциональный анализ"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1345017/OOP_01_06_01_010102_.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Нет,Нет,Да
01.06.01,"Математика и механика (направленность ""Дифференциальные уравнения, динамические системы и оптимальное управление"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331922/%D0%9E%D0%9E%D0%9F_01.06.01_01.02.04_%D0%9C%D0%94%D0%A2%D0%A2_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Нет,Да
01.06.01,"Математика и механика (направленность ""Дифференциальные уравнения, динамические системы и оптимальное управление"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1361373/03.06.01_%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0%20%D0%B8%20%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F_%D0%9E%D0%BF%D1%82%D0%B8%D0%BA%D0%B0_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D1%84%D0%B8%D0%B7%D1%84%D0%B0%D0%BA_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Нет,Нет,Да
01.06.01,"Математика и механика (направленность ""Механика деформируемого твердого тела"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1361018/03.06.01_%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0%20%D0%B8%20%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F_%D0%9E%D0%9E%D0%9F_%D0%A4%D0%9A%D0%A1_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
01.06.01,"Математика и механика (направленность ""Механика деформируемого твердого тела"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1361163/03.06.01_%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0_%D0%BF%D0%BE%D0%BB%D1%83%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2_%D0%9E%D0%9E%D0%9F_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантов,Практики,Да
03.06.01,"Физика и астрономия (направленность ""Оптика"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1325781/04.06.01_%D0%9E%D0%9E%D0%9F_%D1%85%D0%B8%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BD%D0%B0%D1%83%D0%BA%D0%B8_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D1%85%D0%B8%D0%BC%D0%B8%D1%8F_2020-2021.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПервый методический документВторой методический документТретий методический документ,Практики,Да
03.06.01,"Физика и астрономия (направленность ""Оптика"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1350269/%D0%9E%D0%9E%D0%9F%20%D0%B0%D1%81%D0%BF%20%D0%92%D0%9C%D0%A1%202020.pdf,Уч. план АОП,Аннотация к АОП,Нет,Нет,Нет,Да
03.06.01,"Физика и астрономия (направленность ""Физика конденсированного состояния"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1351323/04.06.01%20%D0%A5%D0%B8%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BD%D0%B0%D1%83%D0%BA%D0%B8_%D0%9D%D0%B5%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D1%85%D0%B8%D0%BC%D0%B8%D1%8F_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Нет,Аннотация к ООП,Нет,Методические указания по изучению дисциплины Научно-исследовательский...Методические указания для обучающихся по освоению дисциплины...Методические указания по выполнению и защите выпускных...,Нет,Нет
03.06.01,"Физика и астрономия (направленность ""Физика конденсированного состояния"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1362822/%D0%9E%D0%9E%D0%9F%20%D0%B0%D1%81%D0%BF%20%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D1%85%D0%B8%D0%BC%D0%B8%D1%8F%202020.pdf,Нет,Аннотация к АОП,Нет,Нет,Нет,Нет
